Composable Batch Files (CBF) - Table of Contents

 .--.      .--.      .--.      .--.      .--.
::::.\::::::::.\::::::::.\::::::::.\::::::::.\:::::
      `--'      `--'      `--'      `--'      `--' 

    File  Description
      ty  Modernized type command. Use Microsoft Edge to view a file chosen based on a decision algorithm.
     tyf  Reopen or see search results that have been piped to a file.
     tyi  Use type command to view calculus file in Internet Explorer.
     ujt  Update java timestamp.
      un  Communicates that the intent is only to change the URL for a passed in alias.
     unz  Unzip.
     utc  Convert UTC to EST.
       v  Vetted (Useful for copying-and-pasting).
      va  Surf to a Vault webpage.
      vc  Visual Studio Code. Has td parameter.
      vu  Vue.
      wi  Open the Wikipedia page for the passed in alias.
      wl  Run WebLogic startup commands.
      wo  Run Word with or without a filename alias parameter.
      wp  Use Wordpad and sfn to edit a file.
     wpd  Use Wordpad to edit DCV files.
       w  Unassigned.
       x  Bing shortcut.
     xac  Execute an application alias with a filename in the current folder.
     xaf  Execute an application alias with a filename alias.
     xml  Edit an XML DCV file in VSC.
       y  Using advanced routing, open text files for viewing or editing.
     yml  Edit DCV file in NotePad++ for file type yml.
      yt  Execute the YouTube DCV for the passed in alias.
     zip  Zip.
